Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000067842	ATP2B3	"CFAP39, CLA2, PMCA3, SCAX1"	"ATPase plasma membrane Ca2+ transporting 3"	Q16720	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000182220	ATP6AP2	"APT6M8-9, ATP6IP2, ATP6M8-9, M8-9, PRR, RENR"	"ATPase H+ transporting accessory protein 2"	O75787	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000105929	ATP6V0A4	"a4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, Stv1, Vph1, VPP2"	"ATPase H+ transporting V0 subunit a4"	Q9HBG4	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000131100	ATP6V1E1	"ATP6E, ATP6E2, ATP6V1E, P31, Vma4"	"ATPase H+ transporting V1 subunit E1"	P36543	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000165240	ATP7A	MNK	"ATPase copper transporting alpha"	Q04656	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000123191	ATP7B	WND	"ATPase copper transporting beta"	P35670	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000132932	ATP8A2	"ATPIB, ML-1"	"ATPase phospholipid transporting 8A2"	Q9NTI2	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000081923	ATP8B1	"ATPIC, BRIC, FIC1, PFIC, PFIC1"	"ATPase phospholipid transporting 8B1"	O43520	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000175054	ATR	"FRP1, MEC1, SCKL, SCKL1"	"ATR serine/threonine kinase"	Q13535	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000085224	ATRX	"JMS, MRX52, RAD54, XH2, XNP"	"ATRX, chromatin remodeler"	P46100	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000066427	ATXN3	"ATX3, JOS, MJD, SCA3"	"Ataxin 3"	P54252	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000148090	AUH		"AU RNA binding methylglutaconyl-CoA hydratase"	Q13825	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000178999	AURKB	"Aik2, AIM-1, ARK2, AurB, IPL1, PPP1R48, STK12, STK5"	"Aurora kinase B"	Q96GD4	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000105146	AURKC	"ARK3, AurC, STK13"	"Aurora kinase C"	Q9UQB9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167601	AXL	"ARK, JTK11, Tyro7, UFO"	"AXL receptor tyrosine kinase"	P30530	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000162885	B3GALNT2	MGC39558	"Beta-1,3-N-acetylgalactosaminyltransferase 2"	Q8NCR0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000176022	B3GALT6	beta3GalT6	"Beta-1,3-galactosyltransferase 6"	Q96L58	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000149541	B3GAT3	GlcAT-I	"Beta-1,3-glucuronyltransferase 3"	O94766	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000135454	B4GALNT1	"beta1-4GalNAc-T, GALGT, SPG26"	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"	Q00973	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000086062	B4GALT1	"beta4Gal-T1, GGTB2"	"Beta-1,4-galactosyltransferase 1"	P15291	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000027847	B4GALT7	"beta4Gal-T7, XGALT-1"	"Beta-1,4-galactosyltransferase 7"	Q9UBV7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000136881	BAAT	BAT	"Bile acid-CoA:amino acid N-acyltransferase"	Q14032	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000163930	BAP1	"hucep-6, KIAA0272, UCHL2"	"BRCA1 associated protein 1"	Q92560	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000009954	BAZ1B	"WBSCR10, WBSCR9, WSTF"	"Bromodomain adjacent to zinc finger domain 1B"	Q9UIG0	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000185825	BCAP31	"6C6-Ag, BAP31, CDM, DXS1357E"	"B cell receptor associated protein 31"	P51572	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000248098	BCKDHA	"MSU, OVD1A"	"Branched chain keto acid dehydrogenase E1, alpha polypeptide"	P12694	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000083123	BCKDHB		"Branched chain keto acid dehydrogenase E1 subunit beta"	P21953	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000103507	BCKDK		"Branched chain ketoacid dehydrogenase kinase"	O14874	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000135697	BCO1	"BCDO, BCDO1, BCMO, BCMO1, FLJ10730"	"Beta-carotene oxygenase 1"	Q9HAY6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000074582	BCS1L	"BCS, BJS, h-BCS, Hs.6719"	"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"	Q9Y276	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000167995	BEST1	"BEST, BMD, RP50, VMD2"	"Bestrophin 1"	O76090	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000023445	BIRC3	"API2, c-IAP2, cIAP2, hiap-1, MALT2, MIHC, RNF49"	"Baculoviral IAP repeat containing 3"	Q13489	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000136573	BLK	MGC10442	"BLK proto-oncogene, Src family tyrosine kinase"	P51451	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000197299	BLM	"BS, RECQ2, RECQL3"	"Bloom syndrome RecQ like helicase"	P54132	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000106605	BLVRA	BLVR	"Biliverdin reductase A"	P53004	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000168487	BMP1	PCOLC	"Bone morphogenetic protein 1"	P13497	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
ENSG00000138696	BMPR1B	"ALK6, CDw293"	"Bone morphogenetic protein receptor type 1B"	O00238	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000172331	BPGM		"Bisphosphoglycerate mutase"	P07738	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000012048	BRCA1	"BRCC1, FANCS, PPP1R53, RNF53"	"BRCA1, DNA repair associated"	P38398	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000185515	BRCC3	"BRCC36, C6.1A, CXorf53"	"BRCA1/BRCA2-containing complex subunit 3"	P46736	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000136492	BRIP1	"BACH1, FANCJ, OF"	"BRCA1 interacting protein C-terminal helicase 1"	Q9BX63	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000162399	BSND	"BART, DFNB73"	"Barttin CLCNK type accessory beta subunit"	Q8WZ55	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000169814	BTD		Biotinidase	P43251	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000156970	BUB1B	"Bub1A, BUBR1, MAD3L, SSK1"	"BUB1 mitotic checkpoint serine/threonine kinase B"	O60566	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000108561	C1QBP	"gC1Q-R, gC1qR, HABP1, p32, SF2p32"	"Complement C1q binding protein"	Q07021	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000166278	C2		"Complement C2"	P06681	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000039537	C6		"Complement C6"	P13671	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000157131	C8A		"Complement C8 alpha chain"	P07357	"Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000174990	CA5A	"CA5, CAV, CAVA"	"Carbonic anhydrase 5A"	P35218	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000166862	CACNG2	"MGC138502, MGC138504, stargazin"	"Calcium voltage-gated channel auxiliary subunit gamma 2"	Q9Y698	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000084774	CAD	GATD4	"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	P27708	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000171302	CANT1	"SCAN-1, SHAPY"	"Calcium activated nucleotidase 1"	Q8WVQ1	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000014216	CAPN1	"CANP, CANPL1, muCANP, muCL"	"Calpain 1"	P07384	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000142330	CAPN10		"Calpain 10"	Q9HC96	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000092529	CAPN3	"CANP3, LGMD2, LGMD2A, nCL-1, p94"	"Calpain 3"	P20807	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000149260	CAPN5	"ADNIV, HTRA3, nCL-3, VRNI"	"Calpain 5"	O15484	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000110619	CARS	CARS1	"Cysteinyl-tRNA synthetase"	P49589	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000134905	CARS2	FLJ12118	"Cysteinyl-tRNA synthetase 2, mitochondrial"	Q9HA77	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000147044	CASK	"CAGH39, FGS4, LIN2, TNRC8"	"Calcium/calmodulin dependent serine protein kinase"	O14936	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000003400	CASP10	MCH4	"Caspase 10"	Q92851	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000105141	CASP14	"MGC119078, MGC119079, MICE"	"Caspase 14"	P31944	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000064012	CASP8	"Casp-8, FLICE, MACH, MCH5"	"Caspase 8"	Q14790	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000143318	CASQ1	"CASQ, PDIB1"	"Calsequestrin 1"	P31415	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000166762	CATSPER2		"Cation channel sperm associated 2"	Q96P56	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"
ENSG00000105974	CAV1	CAV	"Caveolin 1"	Q03135	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000182533	CAV3	"LGMD1C, LQT9, VIP-21, VIP21"	"Caveolin 3"	P56539	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000110395	CBL	"c-Cbl, CBL2, RNF55"	"Cbl proto-oncogene"	P22681	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000160200	CBS	HIP4	Cystathionine-beta-synthase	P35520	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000177697	CD151	"PETA-3, RAPH, SFA-1, TSPAN24"	"CD151 molecule (Raph blood group)"	P48509	"Blood group antigen proteins, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000135218	CD36	"FAT, GP3B, GP4, GPIV, SCARB3"	"CD36 molecule"	P16671	"Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000110651	CD81	"TAPA-1, TAPA1, TSPAN28"	"CD81 molecule"	P60033	"CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000079335	CDC14A	"cdc14, Cdc14A1, Cdc14A2, DFNB105"	"Cell division cycle 14A"	Q9UNH5	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000185324	CDK10	PISSLRE	"Cyclin dependent kinase 10"	Q15131	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167258	CDK12	"CRK7, CRKR, CRKRS, KIAA0904"	"Cyclin dependent kinase 12"	Q9NYV4	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000065883	CDK13	"CDC2L, CDC2L5, CHED, KIAA1791"	"Cyclin dependent kinase 13"	Q14004	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164885	CDK5	PSSALRE	"Cyclin dependent kinase 5"	Q00535	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000136807	CDK9	"C-2k, CDC2L4, PITALRE, TAK"	"Cyclin dependent kinase 9"	P50750	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000145996	CDKAL1	FLJ20342	"CDK5 regulatory subunit associated protein 1 like 1"	Q5VV42	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000008086	CDKL5	"CFAP247, EIEE2, STK9"	"Cyclin dependent kinase like 5"	O76039	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000100526	CDKN3	"CDI1, KAP"	"Cyclin dependent kinase inhibitor 3"	Q16667	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000075275	CELSR1	"ADGRC1, CDHF9, FMI2, HFMI2, ME2"	"Cadherin EGF LAG seven-pass G-type receptor 1"	Q9NYQ6	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000154227	CERS3	"LASS3, MGC27091"	"Ceramide synthase 3"	Q8IU89	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000087237	CETP	BPIFF	"Cholesteryl ester transfer protein"	P11597	"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"
ENSG00000243649	CFB	"BF, BFD, H2-Bf"	"Complement factor B"	P00751	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000197766	CFD	"ADN, DF, PFD"	"Complement factor D"	P00746	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
ENSG00000205403	CFI	"C3b-INA, FI, IF, KAF"	"Complement factor I"	P05156	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
ENSG00000070748	CHAT		"Choline O-acetyltransferase"	P28329	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000173575	CHD2	"DKFZp547I1315, DKFZp686E01200, DKFZp781D1727, FLJ38614"	"Chromodomain helicase DNA binding protein 2"	O14647	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000111642	CHD4	"Mi-2b, Mi2-BETA"	"Chromodomain helicase DNA binding protein 4"	Q14839	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
